,제목,키워드
0,선배는 남자아이,"['마코토', '남자', '착각', '후배', '고백']"
1,헬스 시궁창인생 고등학교,"['고등학교', '개그', '시궁창', '입학시험', '진성']"
2,퇴마록,"['판타지', '마귀', '마사', '비밀', '밀교']"
3,나이트 언더 하트,"['각오', '감각', '동화', '로그', '유신']"
4,최종보스 공대장,"['게임', '대장', '운명', '게이', '보스']"
5,멸망급 빌런들의 선생님,"['운명', '전설', '판타지', '멸망']"
6,뉴심:교체인생,"['업자', '시작', '톱스타', '고객', '미련']"
7,인간대전,"['인류', '도발', '러시아', '세계', '액션']"
8,신부가 필요해,"['대표', '대형', '만우절', '짝사랑', '로맨스']"
9,어메이징 스파이더맨,"['피터', '스파이', '일리', '뷰글', '제이']"
10,은의 정원,"['귀걸이', '도련님', '로맨스', '메모', '부수']"
11,오늘도 월월!,"['인간', '진우', '개뿔', '머리', '친구']"
12,본투비갓,"['만난', '목숨', '성은', '공격', '선도']"
13,불쾌한 골짜기,"['발견', '정우', '낯선', '남자', '눈앞']"
14,어벤저스: 지구 최강의 영웅들,"['어벤저스', '시대', '백만', '블레이드', '선사']"
15,관심종자,"['녀석', '벼랑', '순정', '관심', '성적']"
16,"울어주세요, 황태자님","['황태자', '결혼', '대공', '로맨스', '만남']"
17,악당이 살아가는 법,"['게임', '서로', '세계', '판타지', '만능']"
18,전남편과 동거중입니다,"['서원', '희영', '결혼', '살기', '생활']"
19,등교하는 근식이,"['이후', '주변', '친구', '화요일', '등교']"
20,한 달 서른 날,"['제안', '하자', '나라', '서른', '선택']"
21,혼전계약서,"['승희', '결혼', '무결', '계약', '소문']"
22,꿈에서 자유로,"['자각', '드라마', '악연', '위안', '최정']"
23,마성의 공작님은 잠 못 이루고,"['시종', '공작', '남녀', '노소', '로맨스']"
24,이모털 헐크,"['헐크', '감마', '등장', '무도', '물이']"
25,R-X,"['레이어', '인류', '생존', '전사', '능력']"
26,갇힌 방,"['남학생', '주인공', '개인정보', '경하', '계정']"
27,7아이언,"['드라마', '분투', '골프', '극복', '오른손']"
28,귀령왕,"['무림', '소용돌이', '왜곡', '현대', '나날']"
29,꼰대 관찰자,"['세대', '사이', '꼰대들', '법도', '관찰']"
30,지금부터 황제의 마음을 빼...,"['게임', '고통', '목숨', '영혼', '제안']"
31,버티면 10억,"['주인공', '게임', '강점', '일제', '세상']"
32,미치도록 너만을,"['근무', '눈앞', '마지막', '샤워', '시선']"
33,층간소음,"['우의', '거기', '계약', '끝판', '미래']"
34,오늘의 컨셉,"['고백', '시작', '미인', '외모', '인물']"
35,삼체,"['시작', '과학자', '광기', '인류', '대상']"
36,불지옥 로맨스,"['악마', '거절', '로맨스', '술자리', '영혼']"
37,어둠이 밀려오면,"['자민', '학교', '입학', '고의', '귀신']"
38,시간과 사연,"['반지', '백영은', '직장', '재회', '나위']"
39,사심폭발 로망스,"['겸비', '게이', '능력', '몹쓸', '로맨스']"
40,행복을 만드는 방법,"['소신', '아람', '겸비', '수려', '용모']"
41,해일로의 아침,"['거리', '극복', '기념', '대회', '마라톤']"
42,관찰일기,"['연성', '지언', '본의', '관심', '비밀']"
43,내 최애가 위험해,"['민지', '제이', '투버', '게임', '로맨스']"
44,들개,"['사건', '살인', '광렬', '복수', '진상']"
45,해피니스,"['결혼', '새봄', '고등학교', '경찰', '위장']"
46,우주 최강의 첫사랑,"['동아리', '외계인', '공고', '모집', '발견']"
47,마녀의 소녀,"['소원', '마법', '보라', '진희', '달라']"
48,리얼월드 ; 밸런스붕괴자,"['강우', '게임', '가게', '세계', '무시']"
49,밑빠진 용병대에 돈 붓기,"['지현', '전사', '집단', '최강', '구해']"
50,자장자장,"['수마', '주문', '처음', '취한', '휴식']"
51,왕은 그림자 숲에 잠든다,"['호안', '나루', '대가', '로맨스', '나라']"
52,방구석 히어로,"['강남', '엄마', '결심', '꼴통', '내일']"
53,헌터 잭,"['격주', '기회', '로서', '뱀파이어', '앞뒤']"
54,좋아하게 될 거야,"['글쎄', '다지', '로맨스', '무당', '빤스']"
55,소중한 날은 언제나 비가 내린다,"['사랑', '결코', '남자친구', '도쿄', '로맨스']"
56,천신의 요람,"['계약', '공생', '선인', '시작', '신경']"
57,"한여름, 밤의 꿈","['고등학교', '로맨스', '짝사랑', '교인', '시작']"
58,열린 지옥문 닫힘,"['운명', '저승사자', '담당', '사고', '하성']"
59,인간의 자격,"['과거', '관찰', '드라마', '가족', '대상자']"
60,적어주세요!,"['글씨', '프로젝트', '디자인', '정찬', '차도']"
61,투 두 리스트,"['연애', '남자', '로맨스', '근처', '대학']"
62,게임의 법칙,"['특이점', '격투게임', '드피스트', '블러', '시우']"
63,꼬드보,"['프랑스', '기운', '괴한', '도착', '발길질']"
64,벨과 야수의 근로계약,"['대상', '청산', '내용', '단주', '발판']"
65,줄리엣의 나라,"['나라', '수연', '대통령', '불구', '아들']"
66,사파리 로맨스,"['로맨스', '동물원', '봉우리', '사육사', '미인']"
67,해님의 용왕님,"['용왕', '선비', '위로', '강물', '오른']"
68,홍예,"['공주', '드라마', '무사', '서로', '충돌']"
69,답은 정해져 있다,"['장학금', '블랙', '거액', '누군가', '답안']"
